descriptor,sequence,geom_noise,ima,imb,ap,auc,sr
DOAP-HP-ST-LM-a,i_fog,easy,0,5,0.41548768868328,0.415461907351871,0.43801652892562
DOAP-HP-ST-LM-a,i_nijmegen,easy,0,1,0.621087958700063,0.621052129452278,0.674337168584292
DOAP-HP-ST-LM-a,i_nijmegen,easy,0,2,0.722371512780879,0.722337519781465,0.76488244122061
DOAP-HP-ST-LM-a,i_nijmegen,easy,0,3,0.30961606122067,0.309484089271409,0.433216608304152
DOAP-HP-ST-LM-a,i_nijmegen,easy,0,4,0.715763828078654,0.715737199176858,0.753876938469235
DOAP-HP-ST-LM-a,i_nijmegen,easy,0,5,0.654067409853988,0.654024579457151,0.706353176588294
DOAP-HP-ST-LM-a,v_courses,easy,0,1,0.95921279290612,0.95920682788902,0.970783532536521
DOAP-HP-ST-LM-a,v_courses,easy,0,2,0.882085482060789,0.88207344754929,0.905046480743692
DOAP-HP-ST-LM-a,v_courses,easy,0,3,0.874395934128405,0.874365104809584,0.911686586985392
DOAP-HP-ST-LM-a,v_courses,easy,0,4,0.731708494604811,0.731670098400294,0.791500664010624
DOAP-HP-ST-LM-a,v_courses,easy,0,5,0.645857196465989,0.645792781393997,0.718459495351926
DOAP-HP-ST-LM-a,v_coffeehouse,easy,0,1,0.960999914960318,0.960999332839706,0.962962962962963
DOAP-HP-ST-LM-a,v_coffeehouse,easy,0,2,0.968468254534595,0.968467288692449,0.970970970970971
DOAP-HP-ST-LM-a,v_coffeehouse,easy,0,3,0.907795121901739,0.907791978611115,0.916916916916917
DOAP-HP-ST-LM-a,v_coffeehouse,easy,0,4,0.963513376658324,0.963512495776464,0.965965965965966
DOAP-HP-ST-LM-a,v_coffeehouse,easy,0,5,0.825798293204362,0.825791205830468,0.842842842842843
DOAP-HP-ST-LM-a,v_abstract,easy,0,1,0.989862463614575,0.989858649192963,0.994182971972501
DOAP-HP-ST-LM-a,v_abstract,easy,0,2,0.984592998597348,0.984590783254597,0.988894764674775
DOAP-HP-ST-LM-a,v_abstract,easy,0,3,0.919212417555242,0.919204516356407,0.934955050237969
DOAP-HP-ST-LM-a,v_abstract,easy,0,4,0.952034131047041,0.952027623175737,0.96351136964569
DOAP-HP-ST-LM-a,v_abstract,easy,0,5,0.797267023428906,0.797255604572048,0.823902696985722
DOAP-HP-ST-LM-a,v_feast,easy,0,1,0.988744156771882,0.988744089511629,0.989
DOAP-HP-ST-LM-a,v_feast,easy,0,2,0.905313096169912,0.905310553858947,0.913
DOAP-HP-ST-LM-a,v_feast,easy,0,3,0.663274354417979,0.663262174306453,0.6955
DOAP-HP-ST-LM-a,v_feast,easy,0,4,0.835717224991037,0.835712197662891,0.8495
DOAP-HP-ST-LM-a,v_feast,easy,0,5,0.706143019235942,0.706132488764591,0.733
DOAP-HP-ST-LM-a,v_woman,easy,0,1,0.927454249100812,0.927450962755641,0.932316491897045
DOAP-HP-ST-LM-a,v_woman,easy,0,2,0.92549448444889,0.925491313612989,0.930409914204004
DOAP-HP-ST-LM-a,v_woman,easy,0,3,0.900025055554442,0.900017929285797,0.90467111534795
DOAP-HP-ST-LM-a,v_woman,easy,0,4,0.8655241941185,0.865513273935424,0.877979027645376
DOAP-HP-ST-LM-a,v_woman,easy,0,5,0.928482522860547,0.928480761707526,0.931363203050524
DOAP-HP-ST-LM-a,v_talent,easy,0,1,0.817280486883642,0.817262610379846,0.85077616424637
DOAP-HP-ST-LM-a,v_talent,easy,0,2,0.740473150154169,0.740453936173062,0.780170255383075
DOAP-HP-ST-LM-a,v_talent,easy,0,3,0.680003949734828,0.679979379547958,0.730595893840761
DOAP-HP-ST-LM-a,v_talent,easy,0,4,0.48634558201306,0.486316585741241,0.538808212318478
DOAP-HP-ST-LM-a,v_talent,easy,0,5,0.598266522848505,0.598240313398418,0.648472709063595
DOAP-HP-ST-LM-a,v_tabletop,easy,0,1,0.984540075655021,0.984539949593859,0.985
DOAP-HP-ST-LM-a,v_tabletop,easy,0,2,0.897088935483319,0.897083632490205,0.9115
DOAP-HP-ST-LM-a,v_tabletop,easy,0,3,0.728967080575015,0.72892993617378,0.7785
DOAP-HP-ST-LM-a,v_tabletop,easy,0,4,0.722702436743835,0.722678404694289,0.775
DOAP-HP-ST-LM-a,v_tabletop,easy,0,5,0.827518865196188,0.827498729835538,0.8615
DOAP-HP-ST-LM-a,v_bees,easy,0,1,0.984337395712049,0.984336583692763,0.986438975389252
DOAP-HP-ST-LM-a,v_bees,easy,0,2,0.987208346396366,0.987207387170905,0.988448016072325
DOAP-HP-ST-LM-a,v_bees,easy,0,3,0.975458417929791,0.975457622226325,0.977398292315419
DOAP-HP-ST-LM-a,v_bees,easy,0,4,0.672171482567225,0.672163699891265,0.691612255148167
DOAP-HP-ST-LM-a,v_bees,easy,0,5,0.862298610266292,0.862293890125153,0.873430436966349
DOAP-HP-ST-LM-a,v_strand,easy,0,1,0.996962631881588,0.996962290825924,0.997797356828194
DOAP-HP-ST-LM-a,v_strand,easy,0,2,0.865878183821666,0.865870869283927,0.881607929515419
DOAP-HP-ST-LM-a,v_strand,easy,0,3,0.812193244477538,0.812186325161286,0.829295154185022
DOAP-HP-ST-LM-a,v_strand,easy,0,4,0.758932392711886,0.758912315295141,0.793502202643172
DOAP-HP-ST-LM-a,v_strand,easy,0,5,0.657399191505356,0.657377902938638,0.698237885462555
DOAP-HP-ST-LM-a,v_fest,easy,0,1,0.999409298109854,0.999409287176117,0.999447513812155
DOAP-HP-ST-LM-a,v_fest,easy,0,2,0.973491984315197,0.973490440281692,0.976243093922652
DOAP-HP-ST-LM-a,v_fest,easy,0,3,0.997014993692046,0.997014926313238,0.997237569060773
DOAP-HP-ST-LM-a,v_fest,easy,0,4,0.972161519064422,0.972159890442829,0.975138121546961
DOAP-HP-ST-LM-a,v_fest,easy,0,5,0.957587663808267,0.957586285826357,0.961325966850829
DOAP-HP-ST-LM-a,v_yard,easy,0,1,0.992071409151218,0.992070687992206,0.993815708101422
DOAP-HP-ST-LM-a,v_yard,easy,0,2,0.968871395873538,0.968870633880347,0.970933828076685
DOAP-HP-ST-LM-a,v_yard,easy,0,3,0.974192282058825,0.974191309232312,0.976499690785405
DOAP-HP-ST-LM-a,v_yard,easy,0,4,0.834102873888437,0.834094313027526,0.850340136054422
DOAP-HP-ST-LM-a,v_yard,easy,0,5,0.530436783297251,0.530406610248353,0.570191713048856
DOAP-HP-ST-LM-a,v_underground,easy,0,1,0.90719962580522,0.9071858990307,0.932788944723618
DOAP-HP-ST-LM-a,v_underground,easy,0,2,0.80623939771698,0.806202676427476,0.865577889447236
DOAP-HP-ST-LM-a,v_underground,easy,0,3,0.804115075798065,0.804070724095297,0.866834170854271
DOAP-HP-ST-LM-a,v_underground,easy,0,4,0.641872516635,0.641804351493381,0.745603015075377
DOAP-HP-ST-LM-a,v_underground,easy,0,5,0.235796188777085,0.235696161080629,0.336683417085427
DOAP-HP-ST-LM-a,v_azzola,easy,0,1,0.899855511885316,0.899852537227715,0.9085
DOAP-HP-ST-LM-a,v_azzola,easy,0,2,0.667224517820661,0.667209677115544,0.6975
